dataset,model,fname,ACC,iou,iouA,iouB,dice,DSC,model_
Hepatic Artery Branch,cGAN+MT2F-UNET,1_41_31488_34560_real_B_b.png,0.80140686,0.44834147,0.099744069,0.796938871,0.40070343,0.181395056,1
Hepatic Artery Branch,cGAN+MT2F-UNET,1_41_31488_34560_real_B_c.png,0.744888306,0.592974601,0.607369311,0.578579891,0.372444153,0.755730879,1
Hepatic Artery Branch,cGAN+MT2F-UNET,1_41_31488_34560_real_B_d.png,0.826156616,0.649081395,0.510504834,0.787657957,0.413078308,0.675939358,1
Hepatic Artery Branch,cGAN+MT2F-UNET,1_41_32000_37632_real_B_a.png,0.736709595,0.579091414,0.53767215,0.620510678,0.368354797,0.699332625,1
Hepatic Artery Branch,cGAN+MT2F-UNET,1_41_32000_37632_real_B_b.png,0.787734985,0.540761481,0.316983355,0.764539607,0.393867493,0.481377922,1
Hepatic Artery Branch,cGAN+MT2F-UNET,1_41_32000_37632_real_B_c.png,0.710510254,0.5477911,0.509691425,0.585890776,0.355255127,0.675225965,1
Hepatic Artery Branch,cGAN+MT2F-UNET,1_41_32000_37632_real_B_d.png,0.873123169,0.61836409,0.374011895,0.862716286,0.436561584,0.544408526,1
Hepatic Artery Branch,cGAN+MT2F-UNET,1_41_32000_54016_real_B_a.png,0.807785034,0.614391807,0.458333333,0.77045028,0.403892517,0.628571429,1
Hepatic Artery Branch,cGAN+MT2F-UNET,1_41_32000_54016_real_B_b.png,0.681442261,0.510807641,0.456625283,0.564989998,0.34072113,0.626963281,1
Hepatic Artery Branch,cGAN+MT2F-UNET,1_41_32000_54016_real_B_c.png,0.979537964,0.598292012,0.217162872,0.979421153,0.489768982,0.356834532,1
Hepatic Artery Branch,cGAN+MT2F-UNET,1_41_32000_54016_real_B_d.png,0.949401855,0.540473446,0.131937173,0.949009718,0.474700928,0.233117484,1
Hepatic Artery Branch,cGAN+MT2F-UNET,1_41_33024_18688_real_B_a.png,0.679199219,0.508168198,0.562783347,0.453553049,0.339599609,0.720232075,1
Hepatic Artery Branch,cGAN+MT2F-UNET,1_41_33024_18688_real_B_b.png,0.713424683,0.547793914,0.492665928,0.602921899,0.356712341,0.66011546,1
Hepatic Artery Branch,cGAN+MT2F-UNET,1_41_33024_18688_real_B_c.png,0.708984375,0.548468482,0.566239851,0.530697114,0.354492188,0.72305637,1
Hepatic Artery Branch,cGAN+MT2F-UNET,1_41_33024_18688_real_B_d.png,0.886199951,0.614034093,0.349271442,0.878796743,0.443099976,0.517718572,1
Hepatic Artery Branch,cycleGAN+MT2F-CLR,13_39_34560_55296_real_B_a.png,0.803649902,0.658303743,0.726090381,0.590517104,0.401824951,0.841312122,2
Hepatic Artery Branch,cycleGAN+MT2F-CLR,13_39_34560_55296_real_B_b.png,0.579101563,0.382747939,0.258992612,0.506503265,0.289550781,0.411428328,2
Hepatic Artery Branch,cycleGAN+MT2F-CLR,13_39_34560_55296_real_B_c.png,0.62802124,0.457400232,0.471147171,0.443653293,0.31401062,0.640516707,2
Hepatic Artery Branch,cycleGAN+MT2F-CLR,13_39_34560_55296_real_B_d.png,0.726043701,0.522365433,0.673064316,0.37166655,0.363021851,0.804588694,2
Hepatic Artery Branch,cycleGAN+MT2F-CLR,13_39_36608_64000_real_B_a.png,0.736907959,0.538585995,0.394762707,0.682409283,0.368453979,0.566064328,2
Hepatic Artery Branch,cycleGAN+MT2F-CLR,13_39_36608_64000_real_B_b.png,0.889801025,0.525837113,0.164313816,0.887360409,0.444900513,0.28225005,2
Hepatic Artery Branch,cycleGAN+MT2F-CLR,13_39_36608_64000_real_B_c.png,0.746231079,0.594280467,0.575067709,0.613493225,0.37311554,0.730213318,2
Hepatic Artery Branch,cycleGAN+MT2F-CLR,13_39_36608_64000_real_B_d.png,0.763092041,0.599875639,0.51725639,0.682494888,0.381546021,0.681831223,2
Hepatic Artery Branch,cycleGAN+MT2F-CLR,13_39_36608_65024_real_B_a.png,0.748687744,0.546387425,0.699874264,0.392900586,0.374343872,0.823442391,2
Hepatic Artery Branch,cycleGAN+MT2F-CLR,13_39_36608_65024_real_B_b.png,0.810531616,0.667318619,0.735819752,0.598817486,0.405265808,0.847806636,2
Hepatic Artery Branch,cycleGAN+MT2F-CLR,13_39_36608_65024_real_B_c.png,0.733047485,0.56096009,0.648941507,0.472978672,0.366523743,0.7871007,2
Hepatic Artery Branch,cycleGAN+MT2F-CLR,13_39_36608_65024_real_B_d.png,0.720214844,0.562692981,0.557187017,0.568198945,0.360107422,0.715632754,2
Hepatic Artery Branch,cycleGAN+MT2F-CLR,1_41_30464_60672_real_B_a.png,0.696365356,0.455011147,0.247304914,0.66271738,0.348182678,0.396542835,2
Hepatic Artery Branch,cycleGAN+MT2F-CLR,1_41_30464_60672_real_B_b.png,0.630493164,0.373384036,0.139904102,0.606863971,0.315246582,0.245466442,2
Hepatic Artery Branch,cycleGAN+MT2F-CLR,1_41_30464_60672_real_B_c.png,0.833297729,0.541970031,0.261075414,0.822864648,0.416648865,0.414052025,2
Hepatic Artery Branch,cycleGAN+MT2F-CLR,1_41_30464_60672_real_B_d.png,0.772155762,0.479274687,0.200171407,0.758377967,0.386077881,0.333571365,2
