dataset,model,fname,ACC,iou,iouA,iouB,dice,DSC,model_
Portal Vein Branch,cycleGAN+MT2F-CLR,1_41_31488_34048_real_B_a.png,0.891799927,0.535579141,0.182027916,0.889130367,0.445899963,0.307992583,2
Portal Vein Branch,cycleGAN+MT2F-CLR,1_41_31488_34048_real_B_b.png,0.806030273,0.590622346,0.404673816,0.776570876,0.403015137,0.576181903,2
Portal Vein Branch,cycleGAN+MT2F-CLR,1_41_31488_34048_real_B_c.png,0.612945557,0.390350887,0.213066948,0.567634826,0.306472778,0.351286379,2
Portal Vein Branch,cycleGAN+MT2F-CLR,1_41_31488_34048_real_B_d.png,0.885635376,0.633571145,0.390551309,0.87659098,0.442817688,0.561721537,2
Portal Vein Branch,cycleGAN+MT2F-CLR,1_41_34048_8960_real_B_a.png,0.770370483,0.622795195,0.660209081,0.585381309,0.385185242,0.795332454,2
Portal Vein Branch,cycleGAN+MT2F-CLR,1_41_34048_8960_real_B_b.png,0.977676392,0.527594005,0.077553594,0.977634415,0.488838196,0.143943827,2
Portal Vein Branch,cycleGAN+MT2F-CLR,1_41_34048_8960_real_B_c.png,0.737060547,0.562289047,0.658887107,0.465690986,0.368530273,0.794372449,2
Portal Vein Branch,cycleGAN+MT2F-CLR,1_41_34048_8960_real_B_d.png,0.848739624,0.691494699,0.572715517,0.810273881,0.424369812,0.728314194,2
Portal Vein Branch,cycleGAN+MT2F-CLR,1_41_34048_9472_real_B_a.png,0.631744385,0.44426865,0.345802499,0.5427348,0.315872192,0.513897841,2
Portal Vein Branch,cycleGAN+MT2F-CLR,1_41_34048_9472_real_B_b.png,0.781509399,0.63979966,0.615978759,0.66362056,0.3907547,0.76235997,2
Portal Vein Branch,cycleGAN+MT2F-CLR,1_41_34048_9472_real_B_c.png,0.909561157,0.573658181,0.240420351,0.90689601,0.454780579,0.387643352,2
Portal Vein Branch,cycleGAN+MT2F-CLR,1_41_34048_9472_real_B_d.png,0.718765259,0.435151287,0.168538819,0.701763754,0.359382629,0.288460796,2
Portal Vein Branch,cycleGAN+MT2F-UNET,13_39_33536_27648_real_B_a.png,0.743911743,0.457558732,0.187263923,0.727853541,0.371955872,0.315454583,3
Portal Vein Branch,cycleGAN+MT2F-UNET,13_39_33536_27648_real_B_b.png,0.824172974,0.699128835,0.722410927,0.675846742,0.412086487,0.838836907,3
Portal Vein Branch,cycleGAN+MT2F-UNET,13_39_33536_27648_real_B_c.png,0.912719727,0.50596367,0.100062933,0.911864407,0.456359863,0.181922197,3
Portal Vein Branch,cycleGAN+MT2F-UNET,13_39_33536_27648_real_B_d.png,0.889129639,0.48242273,0.076747141,0.888098318,0.444564819,0.142553694,3
Portal Vein Branch,cycleGAN+MT2F-UNET,13_39_34560_34816_real_B_a.png,0.768829346,0.624286493,0.615979316,0.63259367,0.384414673,0.762360397,3
Portal Vein Branch,cycleGAN+MT2F-UNET,13_39_34560_34816_real_B_b.png,0.944641113,0.538114145,0.132057416,0.944170873,0.472320557,0.233305156,3
Portal Vein Branch,cycleGAN+MT2F-UNET,13_39_34560_34816_real_B_c.png,0.886962891,0.76123544,0.668975379,0.853495501,0.443481445,0.801659973,3
Portal Vein Branch,cycleGAN+MT2F-UNET,13_39_34560_34816_real_B_d.png,0.805877686,0.601914395,0.431495219,0.772333572,0.402938843,0.602859462,3
Portal Vein Branch,cycleGAN+MT2F-UNET,13_39_36608_82944_real_B_a.png,0.380050659,0.226991764,0.150269795,0.303713732,0.19002533,0.261277478,3
Portal Vein Branch,cycleGAN+MT2F-UNET,13_39_36608_82944_real_B_b.png,0.62411499,0.323957593,0.027899451,0.620015734,0.312057495,0.054284398,3
Portal Vein Branch,cycleGAN+MT2F-UNET,13_39_36608_82944_real_B_c.png,0.852416992,0.689944606,0.817952531,0.561936682,0.426208496,0.899861264,3
Portal Vein Branch,cycleGAN+MT2F-UNET,13_39_36608_82944_real_B_d.png,0.514648438,0.338619525,0.266505246,0.410733804,0.257324219,0.420851389,3
Portal Vein Branch,cycleGAN+MT2F-UNET,1_41_30976_47872_real_B_a.png,0.678985596,0.408095329,0.15773881,0.658451848,0.339492798,0.27249464,3
Portal Vein Branch,cycleGAN+MT2F-UNET,1_41_30976_47872_real_B_b.png,0.946884155,0.580162462,0.214221219,0.946103705,0.473442078,0.35285369,3
Portal Vein Branch,cycleGAN+MT2F-UNET,1_41_30976_47872_real_B_c.png,0.869613647,0.532855589,0.20050524,0.865205938,0.434806824,0.33403476,3
Portal Vein Branch,cycleGAN+MT2F-UNET,1_41_30976_47872_real_B_d.png,0.960006714,0.632584234,0.305879237,0.959289231,0.480003357,0.468464814,3
Portal Vein Branch,cycleGAN+MT2F-UNET,1_41_31488_34048_real_B_a.png,0.888595581,0.535340056,0.184974325,0.885705788,0.444297791,0.312199717,3
Portal Vein Branch,cycleGAN+MT2F-UNET,1_41_31488_34048_real_B_b.png,0.805450439,0.590477795,0.405233941,0.775721649,0.40272522,0.576749436,3
Portal Vein Branch,cycleGAN+MT2F-UNET,1_41_31488_34048_real_B_c.png,0.614639282,0.393696071,0.219633532,0.567758609,0.307319641,0.360163158,3
Portal Vein Branch,cycleGAN+MT2F-UNET,1_41_31488_34048_real_B_d.png,0.885787964,0.633288441,0.389776618,0.876800263,0.442893982,0.56091981,3
Portal Vein Branch,cycleGAN+MT2F-UNET,1_41_34048_8960_real_B_a.png,0.755462646,0.605605215,0.629250914,0.581959516,0.377731323,0.772441996,3
Portal Vein Branch,cycleGAN+MT2F-UNET,1_41_34048_8960_real_B_b.png,0.97694397,0.533051076,0.089210368,0.976891784,0.488471985,0.163807416,3
Portal Vein Branch,cycleGAN+MT2F-UNET,1_41_34048_8960_real_B_c.png,0.71774292,0.545739237,0.625516236,0.465962238,0.35887146,0.76962164,3
Portal Vein Branch,cycleGAN+MT2F-UNET,1_41_34048_8960_real_B_d.png,0.848937988,0.687689961,0.562933204,0.812446718,0.424468994,0.720354782,3
Portal Vein Branch,cycleGAN+MT2F-UNET,1_41_34048_9472_real_B_a.png,0.634216309,0.445570519,0.34350267,0.547638367,0.317108154,0.511353908,3
